TokenId,LastSalePrice,Background,BackgroundRarity,Earring,EarringRarity,Fur,FurRarity,Eyes,EyesRarity,Mouth,MouthRarity,Clothes,ClothesRarity,Hat,HatRarity,LastSaleToken,NumberOfSales,SaleDate,USDPrice,LogUSDPrice,Outlier
9542,0.49,Yellow,0.1283,,,Dark Brown,0.1352,Scumbag,0.0233,Bored Unshaven Pizza,0.0026,Navy Striped Tee,0.0334,,,Ether,1.0,2021-05-01 09:40:26.046557,2013.9539,7.607855183244934,1
3594,0.6,Blue,0.1242,Silver Hoop,0.0882,Black,0.1229,Sleepy,0.0751,Bored Unshaven Party horn,0.0045,,,Halo,0.0324,Ether,1.0,2021-05-01 09:43:28.342070,2456.97,7.8066841624344265,1
6198,0.13,Yellow,0.1283,,,Golden Brown,0.0778,Bored,0.1714,Phoneme Vuh,0.0333,Rainbow Suspenders,0.0135,Cowboy Hat,0.0354,Ether,1.0,2021-05-01 09:49:32.604300,535.1632000000001,6.282571747107685,1
8941,1.23,Yellow,0.1283,,,Brown,0.137,Laser Eyes,0.0069,Bored Unshaven Cigarette,0.0438,Biker Vest,0.0253,Cowboy Hat,0.0354,Ether,1.0,2021-05-01 09:50:57.229948,5055.435299999999,8.528219240506724,1
6197,0.55,Army Green,0.1243,,,Dmt,0.0215,Heart,0.0394,Dumbfounded,0.0505,Pimp Coat,0.008,Prussian Helmet,0.013,Ether,1.0,2021-05-01 09:52:18.686427,2264.1520000000005,7.724955574878619,1
2878,0.9999,Aquamarine,0.1266,Silver Stud,0.0823,Blue,0.049,Cyborg,0.0108,Bored Unshaven,0.1551,,,,,Ether,1.0,2021-05-01 09:54:04.153620,4094.540505,8.317409781200084,1
2637,0.15,Blue,0.1242,,,Black,0.1229,Bored,0.1714,Grin,0.0713,,,Bayc Hat Black,0.0228,Ether,1.0,2021-05-01 09:54:04.426802,614.2425,6.420389801314536,1
9815,0.3,Blue,0.1242,,,Cheetah,0.0406,Bored,0.1714,Bored Unshaven Kazoo,0.0061,Lab Coat,0.0144,Sea Captain's Hat,0.0304,Ether,1.0,2021-05-01 09:55:37.517769,1233.033,7.117232266796463,1
9234,1.11,Orange,0.1273,,,Noise,0.0155,Blue Beams,0.0049,Tongue Out,0.0202,Lumberjack Shirt,0.0213,,,Ether,1.0,2021-05-01 09:55:57.810321,4562.2221,8.42556508644664,1
4367,0.53,Blue,0.1242,,,White,0.0397,Heart,0.0394,Bored Unshaven Pipe,0.0101,Blue Dress,0.0095,Party Hat 1,0.012,Ether,2.0,2021-05-01 09:57:22.923797,2170.3235,7.682631513764448,1
3199,0.17,Aquamarine,0.1266,Gold Hoop,0.0462,Blue,0.049,Bloodshot,0.0846,Phoneme Vuh,0.0333,Navy Striped Tee,0.0334,Bayc Hat Red,0.0119,Ether,1.0,2021-05-01 09:57:24.987936,696.1415000000001,6.545552944268541,1
4775,0.15,Aquamarine,0.1266,,,Gray,0.0496,Angry,0.0432,Bored Unshaven Cigarette,0.0438,Hawaiian,0.0283,,,Ether,1.0,2021-05-01 09:57:25.121724,617.496,6.425672590748358,1
8945,0.12,Yellow,0.1283,,,Brown,0.137,Hypnotized,0.022,Phoneme  ooo,0.0255,Toga,0.0202,Fisherman's Hat,0.0345,Ether,1.0,2021-05-01 09:57:49.263776,493.2131999999999,6.200941534922308,1
7003,0.12,Yellow,0.1283,,,Black,0.1229,Coins,0.0479,Discomfort,0.0208,Bone Tee,0.023,,,Ether,1.0,2021-05-01 09:59:09.088408,493.9968,6.202529039434149,1
6870,0.25,Army Green,0.1243,,,Golden Brown,0.0778,3d,0.0487,Bored,0.2272,,,Bayc Flipped Brim,0.0231,Ether,1.0,2021-05-01 09:59:32.041143,1029.16,6.936498214514349,1
6823,0.2,Blue,0.1242,,,Cream,0.0636,3d,0.0487,Bored,0.2272,Hawaiian,0.0283,,,Ether,1.0,2021-05-01 10:02:21.537650,823.3280000000001,6.713354663200139,1
794,0.13,Blue,0.1242,Gold Stud,0.0439,Black,0.1229,Wide Eyed,0.0549,Bored Cigarette,0.071,Caveman Pelt,0.0163,Bayc Hat Black,0.0228,Ether,1.0,2021-05-01 10:03:05.761423,532.3435,6.277288957673862,1
